Project_ID,Emirate,Project_Name,Type_of_Work,Contractor,Start_Date,End_Date,Actual_End_Date,Task_Status,Budget,Cost,Cost_Variance,Labor_Hours
PRJ-UAE-547,Abu Dhabi,Blue Island Marking in Al Hudayriyat Island (West) Marsana Ext. Abu Dhabi,Premarking,Vendor D,01/01/2021,23/02/2021,23/02/2021,Completed,1101701,1067148.99,-34552.01,900
PRJ-UAE-860,RAK,I058- Contract No-P2216 - Design & Build,Epoxy Floor Coating System,Vendor F,02/01/2021,09/03/2021,08/03/2021,Completed,,929337.02,134527.02,802
PRJ-UAE-225,Dubai,SP500 - DSC 2.6 Stands and Aprons Dubai International Airport Expansion,Cold Marking,Vendor B,02/01/2021,23/01/2021,17/02/2021,Completed,1885023,1772548.2,-112474.8,1357
PRJ-UAE-414,Dubai,"Floor marking at 3DX showroom, Dubai Production City",Hand Marking TP,Vendor A,02/01/2021,28/03/2021,18/04/2021,Completed,1695349,1723494.17,28145.17,1500
PRJ-UAE-530,Dubai,"Gems Metropole School (MTSS) SOLAR Project Al Hebiah First, Dubai - UAE",Cold Marking,Vendor B,03/01/2021,08/02/2021,08/02/2021,Completed,2004134,1921794.49,-82339.51,2567
PRJ-UAE-490,Dubai,Road Marking @ GEMS-CISS Qusais Dubai,Machine Marking TP,Vendor C,04/01/2021,05/03/2021,16/03/2021,Completed,1004499,1244390.32,239891.32,2377
PRJ-UAE-565,Sharjah,Infrasturcture Work for Phase 2 at Masar - Sharjah,Premarking,Vendor A,04/01/2021,26/03/2021,30/03/2021,Completed,1429215,1419171.37,-10043.63,2786
PRJ-UAE-233,Ajman,R852 Muhaisnah Road,Hand Marking TP,Vendor C,05/01/2021,27/01/2021,20/02/2021,Completed,607291,611944.75,4653.75,1334
PRJ-UAE-708,Al Ain,RWS0124 - Internal Roads for Umm Al Quwain,Maintenance,Vendor B,06/01/2021,19/02/2021,16/02/2021,Completed,753914,819957.69,66043.69,414
PRJ-UAE-879,Dubai,Road Marking work at Dubai Metro blue lane project,Cold Marking,Vendor E,06/01/2021,05/02/2021,05/02/2021,Completed,1488348,1429367.89,-58980.11,44
PRJ-UAE-883,Dubai,"The Wilds Infrastructure & Road Works, At Dubai,",Hand Marking TP,Vendor B,06/01/2021,26/01/2021,25/01/2021,Completed,2300801,2352402.46,51601.46,90
PRJ-UAE-578,UAQ,NAD AL HAMAR PARKING,Maintenance,Vendor G,06/01/2021,27/01/2021,25/01/2021,Completed,418903,400086.99,-18816.01,86
PRJ-UAE-329,Dubai,Dubai Toyota Showroom Parking Areas,Hand Marking TP,Vendor E,07/01/2021,12/03/2021,26/03/2021,Completed,1945485,1875579.11,-69905.89,2014
PRJ-UAE-269,Abu Dhabi,"Jersey Blocks/Concrete Blocks at CMA Terminals , Khalifa Port-Abu Dhabi.",Maintenance,Vendor E,08/01/2021,24/03/2021,24/03/2021,Completed,788571,807500.08,18929.08,1956
PRJ-UAE-780,Dubai,"Project Site @Plot No 4210804, Al waraqa Dubai",Premarking,Vendor D,09/01/2021,16/02/2021,03/03/2021,Completed,809003,769811.82,-39191.18,842
PRJ-UAE-643,Dubai,"DWC/DAS/025-24 Miscellaneous Works for Airshow Al Maktoum International Airport, Dubai, UAE",Cold Marking,Vendor E,09/01/2021,25/01/2021,30/01/2021,Completed,1910767,1923384.89,12617.89,750
PRJ-UAE-435,Abu Dhabi,"Construction of Process Building Facility in Zone -1 Hameem, Abu Dhabi",Epoxy Floor Coating System,Vendor D,10/01/2021,06/03/2021,02/03/2021,Completed,1016266,1192180.88,175914.88,947
PRJ-UAE-477,Dubai,Concrete Milling at Jebel Ali,Hand Marking TP,Vendor B,11/01/2021,07/04/2021,07/04/2021,Completed,1437915,1336772.49,-101142.51,1327
PRJ-UAE-537,Ajman,R1236-Parking for Water Treatment Plant Near EXPO Centre - Al Khan,Premarking,Vendor A,11/01/2021,15/03/2021,08/04/2021,Completed,653981,740874.35,86893.35,2695
PRJ-UAE-487,Fujairah,"Supply Only of Advance Signs to ADNOC Project , Fujairah-UAE",Cold Marking,Vendor A,12/01/2021,09/02/2021,24/02/2021,Completed,808031,984599.24,176568.24,
PRJ-UAE-171,Dubai,"Burjeel Medical City, Mohammed Bin Zayed City",Machine Marking TP,Vendor B,12/01/2021,10/03/2021,10/03/2021,Completed,1477967,1439481.63,-38485.37,674
PRJ-UAE-531,Abu Dhabi,Speed Hump Marking at Abu Dhabi,Maintenance,Vendor D,12/01/2021,27/01/2021,09/02/2021,Completed,,580439.53,-29247.47,1622
PRJ-UAE-618,Fujairah,Road Marking at Fujairah,Sand Blasting,Vendor A,13/01/2021,30/03/2021,29/03/2021,Completed,622409,634037.77,11628.77,1540
